id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
328,Monero,XMR,monero,351,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,12479288054.61,,11,,,,2026-01-16T06:40:00.000Z,676.5035609937825,329626301.6453598,-32.5395,0.83025704,-2.30426122,47.09954549,58.15145356,71.96306118,131.76281044,12479288054.605465,0.3861,12479288054.61,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
1831,Bitcoin Cash,BCH,bitcoin-cash,1123,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19981440.625,19981440.625,False,12007160248.62,,12,,,,2026-01-16T06:40:00.000Z,600.9156433691865,968865917.4511653,-2.0113,0.28407317,-1.77601159,-5.23394826,10.05114217,23.07384619,26.76771151,12007160248.615074,0.3715,12619228510.75,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
1975,Chainlink,LINK,chainlink,2192,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'x-layer-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022']",1000000000.0,708099970.4525867,1000000000.0,False,13794144041.93,,13,,,,2026-01-16T06:41:00.000Z,13.794144041928902,526585729.5326614,-7.4107,0.41532559,-0.5119594,4.02014218,8.01151879,-1.24155265,-17.15760265,9767632988.50858,0.3022,13794144041.93,,2026-01-16T06:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2026-01-16 12:12:08.193482
3957,UNUS SED LEO,LEO,unus-sed-leo,65,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921693173.9,985239504.0,False,8765960250.24,,14,,,,2026-01-16T06:41:00.000Z,8.897288643678781,792480.98506149,-62.2512,0.06776728,0.03739449,-2.02453069,-1.43211397,-3.51230639,-5.62098022,8200570209.096722,0.2537,8765960250.24,,2026-01-16T06:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2026-01-16 12:12:08.193482
32196,Hyperliquid,HYPE,hyperliquid,225,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",961671487.86,302071893.0,961671487.86,False,24056233724.64,,15,333931719.0,8353309401.125178,,2026-01-16T06:40:00.000Z,25.015022310968842,201111961.54374757,-21.8438,1.33523601,0.07345892,-4.21791201,-7.46230191,-34.69584426,-28.43063007,7556335142.9115925,0.2338,24056233724.64,,2026-01-16T06:40:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2026-01-16 12:12:08.193482
1,Bitcoin,BTC,bitcoin,12518,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19976471.0,19976471.0,False,1911261896762.09,,1,,,,2026-01-16T06:45:00.000Z,95675.65245944017,49678938978.84013,-15.6006,0.11846079,-0.55086662,5.12933901,10.25709269,0.85615668,-10.41306707,1911261896762.0852,59.1151,2009188701648.24,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
1027,Ethereum,ETH,ethereum,11407,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120694612.72322571,120694612.72322571,True,399970456409.74,,2,,,,2026-01-16T06:45:00.000Z,3313.9047997688667,25698189046.299828,-18.604,0.11865439,0.05910791,6.22058387,12.92259796,4.12988901,-14.25963072,399970456409.74225,12.371,399970456409.74,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
825,Tether USDt,USDT,tether,166981,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,186866822414.56506,190747472198.06125,True,190666590432.83,,3,,,,2026-01-16T06:45:00.000Z,0.999575974641774,100897808954.72903,-17.0938,0.00063454,-0.00796528,0.08456656,-0.01943779,0.05677377,-0.07399349,186787586143.25015,5.7773,190666590432.83,,2026-01-16T06:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-16 12:16:35.396344
1839,BNB,BNB,bnb,3085,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",136361267.51,136361267.51,136361267.51,False,127448988690.16,,4,,,,2026-01-16T06:46:00.000Z,934.6421532845369,2154092934.010864,-20.5626,0.25035612,0.09659954,4.41887328,8.01933129,0.45949116,-14.82546987,127448988690.15515,3.942,127448988690.16,,2026-01-16T06:46:00.000Z,,,,,,2026-01-16 12:16:35.396344
52,XRP,XRP,xrp,1782,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60699081830.0,99985731168.0,False,207272669231.87,,5,,,,2026-01-16T06:45:00.000Z,2.0730224884148654,2649062075.1046615,-31.4761,0.1963274,-0.82083182,-3.21600582,7.81560528,-8.0173168,-11.4580205,125830561659.72414,3.8919,207302248841.49,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
5426,Solana,SOL,solana,1073,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,565322611.0079962,618363982.5430739,True,88527329090.57,,6,525236893.3,75194902381.68384,,2026-01-16T06:45:00.000Z,143.16378636169927,4241390204.293883,-27.219,0.60706665,-0.68223237,2.31627201,12.16067725,1.75323829,-22.79146803,80933725507.78679,2.5033,88527329090.57,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
3408,USDC,USDC,usd-coin,36397,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,75627897983.59691,75627897983.59691,False,75608351030.21,,7,60901219650.23,60885478986.619316,,2026-01-16T06:45:00.000Z,0.9997415377934779,13350410100.67194,-31.3844,0.00459047,0.00347674,0.01109077,-0.0179587,0.01147548,-0.01598297,75608351030.20944,2.3386,75608351030.21,,2026-01-16T06:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-01-16 12:16:35.396344
1958,TRON,TRX,tron,1279,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94705757601.97986,94705780467.86986,True,29342028727.26,,8,94667886298.43,29330288242.114857,,2026-01-16T06:45:00.000Z,0.3098229968888751,810533849.3309066,15.3374,0.09640209,1.2661185,5.4789956,10.67072363,5.91326369,-0.87440164,29342021642.876766,0.9075,29342028727.26,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
74,Dogecoin,DOGE,dogecoin,1376,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168337603126.57907,168337603126.57907,True,23601124950.7,,9,,,,2026-01-16T06:45:00.000Z,0.14020114646013973,1343585332.1678321,-22.2099,0.24477458,-1.95578944,-1.82157661,7.05792425,-12.88819001,-24.80775575,23601124950.698387,0.73,23601124950.7,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
2010,Cardano,ADA,cardano,1664,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,35961056222.10074,44994361798.445496,False,17714325590.24,,10,37997904336.0,14959813235.483917,,2026-01-16T06:45:00.000Z,0.39370100790823565,631900356.2945317,-16.0617,0.34324731,-1.90924325,-1.08476725,3.49371548,-19.85510264,-37.26582262,14157904080.085789,0.4379,17716545355.87,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
328,Monero,XMR,monero,351,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,12518819434.48,,11,,,,2026-01-16T06:45:00.000Z,678.6465613906948,330190435.5474774,-32.4654,1.1229537,-2.28878671,47.2358888,58.79670167,72.70267869,132.39528901,12518819434.477165,0.3872,12518819434.48,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
1831,Bitcoin Cash,BCH,bitcoin-cash,1123,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19981443.75,19981443.75,False,12016045180.71,,12,,,,2026-01-16T06:45:00.000Z,601.3602085539287,969317193.1397012,-1.9519,0.33525846,-1.6360047,-5.20940641,10.18774097,23.23388341,26.9467054,12016045180.708595,0.3717,12628564379.63,,2026-01-16T06:45:00.000Z,,,,,,2026-01-16 12:16:35.396344
